FLO9	YAL063C	FLO9	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
DAS2	YDR020C	DAS2	Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; weak similarity with uridine kinases and with phosphoribokinases
SES1	YDR023W	SES1	Cytosolic seryl-tRNA synthetase, class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p
RPS11A	YDR025W	RPS11A	Protein component of the small (40S) ribosomal subunit; identical to Rps11Bp and has similarity to E. coli S17 and rat S11 ribosomal proteins
MRH1	YDR033W	MRH1	Protein that localizes primarily to the plasma membrane, also found at the nuclear envelope; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; has similarity to Hsp30p and Yro2p
YDR034W-B	YDR034W-B	YDR034W-B	Predicted tail-anchored plasma membrane protein containing a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
ARO3	YDR035W	ARO3	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan
KRS1	YDR037W	KRS1	Lysyl-tRNA synthetase
NRG1	YDR043C	NRG1	Transcriptional repressor that recruits the Cyc8p-Tup1p complex to promoters; mediates glucose repression and negatively regulates a variety of processes including filamentous growth and alkaline pH response
RPC11	YDR045C	RPC11	RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS
BAP3	YDR046C	BAP3	Amino acid permease involved in the uptake of cysteine, leucine, isoleucine and valine
TPI1	YDR050C	TPI1	Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region
DBF4	YDR052C	DBF4	Regulatory subunit of Cdc7p-Dbf4p kinase complex, required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated
TGL2	YDR058C	TGL2	Triacylglycerol lipase that is localized to the mitochondria; has lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. coli
MAK21	YDR060W	MAK21	Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein
AIM7	YDR063W	AIM7	Protein that interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss
RPS13	YDR064W	RPS13	Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S15 and rat S13 ribosomal proteins
IPT1	YDR072C	IPT1	Inositolphosphotransferase, involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), the most abundant sphingolipid;, can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin
PPH3	YDR075W	PPH3	Catalytic subunit of protein phosphatase PP4 complex; active complex is composed of Pph3p and Psy2p, with Psy4p apparently providing additional substrate specificity in some cases; regulates recovery from the DNA damage checkpoint and also the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair; involved in activation of Gln3p to alleviate nitrogen catabolite repression; Pph3p and Psy2p localize to foci on meiotic chromosomes
SED1	YDR077W	SED1	Major stress-induced structural GPI-cell wall glycoprotein in stationary-phase cells, associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites
RRP8	YDR083W	RRP8	Nucleolar protein involved in rRNA processing, pre-rRNA cleavage at site A2; also involved in telomere maintenance; mutation is synthetically lethal with a gar1 mutation
SSS1	YDR086C	SSS1	Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p) that forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane, and of the Ssh1p complex (Ssh1p-Sbh2p-Sss1p); interacts with Ost4p and Wbp1p
RLI1	YDR091C	RLI1	Essential iron-sulfur protein required for ribosome biogenesis and translation initiation and termination; facilitates binding of a multifactor complex (MFC) of initiation factors to the small ribosomal subunit; predicted ABC family ATPase
UBC13	YDR092W	UBC13	Ubiquitin-conjugating enzyme involved in the error-free DNA postreplication repair pathway; interacts with Mms2p to assemble ubiquitin chains at the Ub Lys-63 residue; DNA damage triggers redistribution from the cytoplasm to the nucleus
DNF2	YDR093W	DNF2	Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase
ARX1	YDR101C	ARX1	Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit biogenesis; interacts directly with Alb1; responsible for Tif6 recycling defects in absence of Rei1; associated with the ribosomal export complex
ARP10	YDR106W	ARP10	Component of the dynactin complex, localized to the pointed end of the Arp1p filament; may regulate membrane association of the complex
ALT2	YDR111C	ALT2	Putative alanine transaminase (glutamic pyruvic transaminase)
YDR112W	YDR112W	YDR112W	Dubious open reading frame, unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps YDR111C; null mutant displays increased levels of spontaneous Rad52p foci
PDS1	YDR113C	PDS1	Securin, inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit, essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation
VBA4	YDR119W	VBA4	Protein of unknown function with proposed role as a basic amino acid permease based on phylogeny; GFP-fusion protein localizes to vacuolar membrane; physical interaction with Atg27p suggests a possible role in autophagy; non-essential gene
SWF1	YDR126W	SWF1	Palmitoyltransferase that acts on transmembrane proteins, including the SNAREs Snc1p, Syn8p, Tlg1p and likely all SNAREs; contains an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; may have a role in vacuole fusion
SAC6	YDR129C	SAC6	Fimbrin, actin-bundling protein; cooperates with Scp1p (calponin/transgelin) in the organization and maintenance of the actin cytoskeleton
SAN1	YDR143C	SAN1	Ubiquitin-protein ligase; involved in the proteasome-dependent degradation of aberrant nuclear proteins; targets substrates with regions of exposed hydrophobicity containing 5 or more contiguous hydrophobic residues; contains intrinsically disordered regions that contribute to substrate recognition
GIR2	YDR152W	GIR2	Highly-acidic cytoplasmic RWD domain-containing protein of unknown function; forms a complex with Rbg2p; interacts with Rbg1p and Gcn1p; associates with translating ribosomes; putative intrinsically unstructured protein
YDR154C	YDR154C	YDR154C	Dubious open reading frame, null mutant exhibits synthetic phenotype with alpha-synuclein
RPA14	YDR156W	RPA14	RNA polymerase I subunit A14
YDR157W	YDR157W	YDR157W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
HOM2	YDR158W	HOM2	Aspartic beta semi-aldehyde dehydrogenase, catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis
TRM82	YDR165W	TRM82	Subunit of a tRNA methyltransferase complex composed of Trm8p and Trm82p that catalyzes 7-methylguanosine modification of tRNA
HSP42	YDR171W	HSP42	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock
SUP35	YDR172W	SUP35	Translation termination factor eRF3, has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that alters translational fidelity and results in a nonsense suppressor phenotype
SDH4	YDR178W	SDH4	Membrane anchor subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain
ATC1	YDR184C	ATC1	Nuclear protein, possibly involved in regulation of cation stress responses and/or in the establishment of bipolar budding pattern
UPS3	YDR185C	UPS3	Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations
YDR187C	YDR187C	YDR187C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified, essential ORF CCT6/YDR188W
CCT6	YDR188W	CCT6	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif
CBS2	YDR197W	CBS2	Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader
RAV2	YDR202C	RAV2	Subunit of RAVE (Rav1p, Rav2p, Skp1p), a complex that associates with the V1 domain of the vacuolar membrane (H+)-ATPase (V-ATPase) and promotes assembly and reassembly of the holoenzyme
YDR210W	YDR210W	YDR210W	Predicted tail-anchored plasma membrane protein containing a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
CRF1	YDR223W	CRF1	Transcriptional corepressor involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain
ADK1	YDR226W	ADK1	Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence
RTN1	YDR233C	RTN1	ER membrane protein that interacts with Sey1p to maintain ER morphology; interacts with exocyst subunit Sec6p, with Yip3p, and with Sbh1p; null mutant has an altered ER morphology; member of the RTNLA (reticulon-like A) subfamily
LYS4	YDR234W	LYS4	Homoaconitase, catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway
SEC26	YDR238C	SEC26	Essential beta-coat protein of the COPI coatomer, involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)
TRS23	YDR246W	TRS23	One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic; human homolog is TRAPPC4
MET32	YDR253C	MET32	Zinc-finger DNA-binding protein, involved in transcriptional regulation of the methionine biosynthetic genes, similar to Met31p
EXG2	YDR261C	EXG2	Exo-1,3-beta-glucanase, involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor
PHM6	YDR281C	PHM6	Protein of unknown function, expression is regulated by phosphate levels
SRP101	YDR292C	SRP101	Signal recognition particle (SRP) receptor alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with the beta subunit, Srp102p
HDA2	YDR295C	HDA2	Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex containing an Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance
SUR2	YDR297W	SUR2	Sphinganine C4-hydroxylase, catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis
